absolute_course_url,subject_name,course_name
https://www.class-central.com/course/edx-infrastructure-as-code-9476,Learn Computer Science,Infrastructure as Code
https://www.class-central.com/course/edx-algorithms-and-data-structures-in-c-9483,Learn Computer Science,Algorithms and Data Structures in C#
https://www.class-central.com/course/edx-microsoft-professional-capstone-devops-9488,Learn Computer Science,Microsoft Professional Capstone : DevOps
https://www.class-central.com/course/edx-enterprise-security-fundamentals-11359,Learn Computer Science,Enterprise Security Fundamentals
https://www.class-central.com/course/edx-computer-vision-and-image-analysis-11378,Learn Computer Science,Computer Vision and Image Analysis
https://www.class-central.com/course/edx-microsoft-professional-capstone-cybersecurity-11474,Learn Computer Science,Microsoft Professional Capstone : Cybersecurity
https://www.class-central.com/course/edx-automating-azure-workloads-9433,Learn Computer Science,Automating Azure Workloads
https://www.class-central.com/course/edx-microsoft-azure-app-service-9313,Learn Computer Science,Microsoft Azure App Service
https://www.class-central.com/course/edx-speech-recognition-systems-10041,Learn Computer Science,Speech Recognition Systems
https://www.class-central.com/course/edx-microsoft-azure-security-services-9825,Learn Computer Science,Microsoft Azure Security Services
https://www.class-central.com/course/edx-microsoft-professional-capstone-it-support-9832,Learn Computer Science,Microsoft Professional Capstone: IT Support
https://www.class-central.com/course/edx-it-support-communication-9837,Learn Computer Science,IT Support: Communication
https://www.class-central.com/course/edx-reinforcement-learning-explained-9926,Learn Computer Science,Reinforcement Learning Explained
https://www.class-central.com/course/edx-principles-of-machine-learning-r-edition-11602,Learn Computer Science,Principles of Machine Learning: R Edition
https://www.class-central.com/course/edx-from-graph-to-knowledge-graph-algorithms-theory-and-applications-11804,Learn Computer Science,"From Graph to Knowledge Graph - Algorithms, Theory and Applications"
https://www.class-central.com/course/edx-deep-learning-explained-8746,Learn Computer Science,Deep Learning Explained
https://www.class-central.com/course/edx-continuous-integration-and-continuous-deployment-9477,Learn Computer Science,Continuous Integration and Continuous Deployment
https://www.class-central.com/course/edx-microsoft-office-fundamentals-outlook-word-and-excel-9201,Learn Computer Science,"Microsoft Office Fundamentals: Outlook, Word, and Excel"
https://www.class-central.com/course/edx-migrating-workloads-to-azure-9314,Learn Computer Science,Migrating Workloads to Azure
https://www.class-central.com/course/edx-powershell-security-best-practices-9946,Learn Computer Science,Powershell Security Best Practices
https://www.class-central.com/course/edx-windows-support-essentials-installation-9833,Learn Computer Science,Windows Support Essentials: Installation
https://www.class-central.com/course/edx-it-support-troubleshooting-9838,Learn Computer Science,IT Support: Troubleshooting
https://www.class-central.com/course/edx-it-support-cloud-fundamentals-9617,Learn Computer Science,IT Support: Cloud Fundamentals
https://www.class-central.com/course/edx-threat-detection-planning-for-a-secure-enterprise-11355,Learn Computer Science,Threat Detection: Planning for a Secure Enterprise
https://www.class-central.com/course/edx-planning-a-security-incident-response-11507,Learn Computer Science,Planning a Security Incident Response
